9.914553 3.221434 -6.127531 -10.424778 -6.127531 3.221434 9.914553 8.433823 0.000000 -8.433823 
3.221434 0.491390 -0.764681 -1.815447 -0.760925 0.426112 1.745890 0.934172 -0.930714 -9.914553 
-6.127531 -0.764681 -0.195824 -0.214888 -0.093382 0.053526 0.192659 0.091119 -0.328556 -3.221434 
-10.424778 -1.815447 -0.214888 -0.045424 -0.013033 0.008067 0.033960 0.110518 0.772772 6.127531 
-6.127531 -0.760925 -0.093382 -0.013033 -0.001593 0.003818 0.025555 0.204130 1.814629 10.424778 
3.221434 0.426112 0.053526 0.008067 0.003818 0.003152 0.010140 0.086602 0.750107 6.127531 
9.914553 1.745890 0.192659 0.033960 0.025555 0.010140 -0.018113 -0.103154 -0.533093 -3.221434 
8.433823 0.934172 0.091119 0.110518 0.204130 0.086602 -0.103154 -0.572541 -2.762749 -9.914553 
0.000000 -0.930714 -0.328556 0.772772 1.814629 0.750107 -0.533093 -2.762749 -4.634504 -8.433823 
-8.433823 -9.914553 -3.221434 6.127531 10.424778 6.127531 -3.221434 -9.914553 -8.433823 -0.000000 
